distortion;3;28375;0.272981
gateCompressor;0;3096477816;15.5805
gateCompressor;1;4091312197;13.967
gateCompressor;2;;
gateCompressor;3;1846886038;14.8854
noiseGate;0;451635;0.20322
noiseGate;1;531444;0.213928
noiseGate;2;360405;0.21392
noiseGate;3;355326;0.213144
volume;0;2728;0.050291
volume;1;3786;0.050271
volume;2;1004;0.050291
volume;3;852;0.050273
APF;0;18064;0.122173
APF;1;26422;0.122177
APF;2;10676;0.122187
APF;3;10744;0.122179
bandFilter;0;81415;0.115589
bandFilter;1;79645;0.116653
bandFilter;2;55434;0.118614
bandFilter;3;54961;0.115523
BPF;0;18110;0.100457
BPF;1;20146;0.103138
BPF;2;8245;0.10048
BPF;3;8180;0.100479
cryBaby;0;62547;0.206292
cryBaby;1;95203;0.204248
cryBaby;2;35542;0.199794
cryBaby;3;31725;0.202025
diodeLadder;0;2640394;2.58037
diodeLadder;1;2594005;2.64613
diodeLadder;2;2316576;2.55682
diodeLadder;3;2253725;2.53022
DNN;0;716142;0.132678
DNN;1;1378632;0.124882
DNN;2;452268;0.131987
DNN;3;529824;0.129862
filterBank;0;970159090;10.2589
filterBank;1;1145186076;8.43894
filterBank;2;937076271;10.3221
filterBank;3;923668446;9.81605
graphicEqLab;0;970317816;24.8602
graphicEqLab;1;3177234703;22.6426
graphicEqLab;2;;
graphicEqLab;3;3962249770;24.7335
highShelf;0;64596;0.093282
highShelf;1;62922;0.093291
highShelf;2;38828;0.093319
highShelf;3;38524;0.093271
HPF;0;19622;0.101102
HPF;1;27305;0.101551
HPF;2;11161;0.10154
HPF;3;10956;0.101538
korg35HPF;0;237048;1.2196
korg35HPF;1;258918;1.34215
korg35HPF;2;184016;1.30801
korg35HPF;3;178604;1.26236
korg35LPF;0;218654;1.17676
korg35LPF;1;230562;1.21976
korg35LPF;2;148441;1.21457
korg35LPF;3;149705;1.23598
lfBoost;0;43586;0.094965
lfBoost;1;51621;0.093288
lfBoost;2;30006;0.101098
lfBoost;3;30778;0.095647
lowBoost;0;42652;0.093244
lowBoost;1;51460;0.095788
lowBoost;2;29700;0.095709
lowBoost;3;30354;0.093267
lowCut;0;74451;0.093179
lowCut;1;97886;0.093191
lowCut;2;62947;0.090788
lowCut;3;63234;0.090793
lowShelf;0;72401;0.09327
lowShelf;1;67973;0.093277
lowShelf;2;45370;0.093004
lowShelf;3;46762;0.093299
LPF;0;21243;0.101021
