multibandFilter;0;901
multibandFilter;1;934
multibandFilter;2;921
multibandFilter;3;929
notch;0;129
notch;1;129
notch;2;129
notch;3;129
oberheimBPF;0;161
oberheimBPF;1;166
oberheimBPF;2;166
oberheimBPF;3;166
oberheimBSF;0;167
oberheimBSF;1;169
oberheimBSF;2;169
oberheimBSF;3;169
oberheim;0;175
oberheim;1;179
oberheim;2;179
oberheim;3;179
oberheimHPF;0;164
oberheimHPF;1;169
oberheimHPF;2;167
oberheimHPF;3;167
oberheimLPF;0;165
oberheimLPF;1;167
oberheimLPF;2;167
oberheimLPF;3;167
parametricEqLab;0;6769
parametricEqLab;1;6063
parametricEqLab;2;6679
parametricEqLab;3;5979
parametricEqualizer;0;499
parametricEqualizer;1;481
parametricEqualizer;2;483
parametricEqualizer;3;448
peakingEQ;0;150
peakingEQ;1;147
peakingEQ;2;147
peakingEQ;3;147
peakNotch;0;168
peakNotch;1;168
peakNotch;2;168
peakNotch;3;168
sallenKey2ndOrderBPF;0;155
sallenKey2ndOrderBPF;1;160
sallenKey2ndOrderBPF;2;160
sallenKey2ndOrderBPF;3;160
sallenKey2ndOrder;0;164
sallenKey2ndOrder;1;169
sallenKey2ndOrder;2;168
sallenKey2ndOrder;3;169
sallenKey2ndOrderHPF;0;159
sallenKey2ndOrderHPF;1;163
sallenKey2ndOrderHPF;2;163
sallenKey2ndOrderHPF;3;163
sallenKey2ndOrderLPF;0;156
sallenKey2ndOrderLPF;1;162
sallenKey2ndOrderLPF;2;161
sallenKey2ndOrderLPF;3;162
sallenKeyOnePole;0;142
sallenKeyOnePole;1;148
sallenKeyOnePole;2;147
sallenKeyOnePole;3;148
sallenKeyOnePoleHPF;0;142
sallenKeyOnePoleHPF;1;149
sallenKeyOnePoleHPF;2;147
sallenKeyOnePoleHPF;3;148
sallenKeyOnePoleLPF;0;141
sallenKeyOnePoleLPF;1;146
sallenKeyOnePoleLPF;2;146
sallenKeyOnePoleLPF;3;147
spectralTilt;0;260
spectralTilt;1;264
spectralTilt;2;260
spectralTilt;3;260
vcfWahLab;0;5712
vcfWahLab;1;5000
vcfWahLab;2;
vcfWahLab;3;5052
vocoder;0;2068
vocoder;1;859
vocoder;2;4179
vocoder;3;1357
wahPedal;0;174
wahPedal;1;174
wahPedal;2;174
wahPedal;3;174
bubble;0;940
bubble;1;676
bubble;2;940
bubble;3;729
complex_rain;0;688
complex_rain;1;664
complex_rain;2;697
complex_rain;3;704
door;0;677
door;1;654
door;2;641
door;3;643
fire;0;1436
fire;1;1109
fire;2;1397
fire;3;1124
insects;0;3965
insects;1;2689
insects;2;3541
insects;3;2851
rain;0;114
rain;1;114
rain;2;114
rain;3;114
thunder;0;1449
thunder;1;1220
thunder;2;1969
thunder;3;1251
windchimes;0;1840
windchimes;1;1447
windchimes;2;1714
windchimes;3;1475
wind;0;569
wind;1;439
wind;2;409
wind;3;466
churchOrgan;0;1952
churchOrgan;1;1555
churchOrgan;2;1878
churchOrgan;3;1728
filterOsc;0;267
filterOsc;1;270
filterOsc;2;269
filterOsc;3;269
noise;0;76
noise;1;76
noise;2;76
noise;3;76
noiseMetadata;0;76
noiseMetadata;1;76
noiseMetadata;2;76
noiseMetadata;3;76
osc;0;152
osc;1;152
osc;2;152
osc;3;157
osci;0;130
osci;1;130
osci;2;135
osci;3;135
sawtoothLab;0;631
sawtoothLab;1;574
sawtoothLab;2;606
sawtoothLab;3;604
virtualAnalog;0;1176
virtualAnalog;1;1024
virtualAnalog;2;1191
virtualAnalog;3;1049
virtualAnalogLab;0;6056
virtualAnalogLab;1;5233
virtualAnalogLab;2;
virtualAnalogLab;3;5319
autopan;0;265
autopan;1;249
autopan;2;280
autopan;3;280
capture;0;215
capture;1;215
capture;2;214
capture;3;214
drumkit;0;726
drumkit;1;649
drumkit;2;747
drumkit;3;646
guitarix;0;1346
guitarix;1;1356
guitarix;2;1328
guitarix;3;1341
inlooper;0;162
inlooper;1;158
inlooper;2;165
inlooper;3;165
matrix;0;1203
matrix;1;1196
matrix;2;1089
matrix;3;1204
midiTester;0;20
midiTester;1;20
midiTester;2;20
midiTester;3;20
mixer;0;520
mixer;1;392
mixer;2;570
mixer;3;378
statespace;0;663
statespace;1;646
statespace;2;668
statespace;3;634
switcher;0;154
switcher;1;154
switcher;2;154
switcher;3;154
tester2;0;354
tester2;1;348
tester2;2;354
tester2;3;357
tester;0;328
tester;1;333
tester;2;332
tester;3;327
UITester;0;296
UITester;1;296
UITester;2;296
UITester;3;296
freeverb;0;621
freeverb;1;529
freeverb;2;678
freeverb;3;498
fact;0;54
fact;1;54
fact;2;54
fact;3;54
fold;0;118
fold;1;118
fold;2;118
fold;3;118
mesh;0;249
mesh;1;249
mesh;2;249
mesh;3;251
serial;0;101
serial;1;101
serial;2;101
serial;3;101
sum;0;78
sum;1;75
sum;2;75
sum;3;75
flanger;0;343
flanger;1;349
flanger;2;374
flanger;3;374
phaser;0;838
phaser;1;819
phaser;2;847
phaser;3;640
phaserFlangerLab;0;5806
phaserFlangerLab;1;5044
phaserFlangerLab;2;
phaserFlangerLab;3;5028
brass;0;523
brass;1;520
brass;2;505
brass;3;542
brassMIDI;0;506
brassMIDI;1;528
brassMIDI;2;494
brassMIDI;3;536
churchBell;0;2291
churchBell;1;2041
churchBell;2;2255
churchBell;3;2044
clarinet;0;408
clarinet;1;436
clarinet;2;412
clarinet;3;449
clarinetMIDI;0;432
clarinetMIDI;1;461
clarinetMIDI;2;425
clarinetMIDI;3;425
djembeMIDI;0;1207
djembeMIDI;1;1165
djembeMIDI;2;1221
djembeMIDI;3;1182
elecGuitarMIDI;0;765
elecGuitarMIDI;1;833
elecGuitarMIDI;2;785
elecGuitarMIDI;3;711
englishBell;0;2294
englishBell;1;2041
englishBell;2;2223
englishBell;3;2043
blowBottle;0;2342
blowBottle;1;1889
blowBottle;2;2171
blowBottle;3;2090
bowed;0;2356
bowed;1;1866
bowed;2;2217
bowed;3;1901
brass;0;2341
brass;1;1805
brass;2;2197
brass;3;1866
clarinet;0;2301
clarinet;1;1772
clarinet;2;2153
clarinet;3;1918
flute;0;2362
flute;1;1897
flute;2;2272
flute;3;2046
fluteStk;0;2322
fluteStk;1;1798
fluteStk;2;2170
fluteStk;3;1849
glassHarmonica;0;2453
